,text,category
0,A odeda mandan kunappi kandam vazhi maha duranthame ninne pole ullavar undayathaneda etavum valiya durantham,Non-anti-LGBT+ content
1,ഇത് കോഴിക്കോടൻ മാരുടെ വിജയം,Non-anti-LGBT+ content
2,Mumbail poyal ivarude thaനീ niram kaanamPaisa chodhichal koduthillel adikkukayum9 theri parayukayum cheyyum athuകൊണ്ട്  thanneya veruppu,Transphobia
3,Sreekandan nair അവരെ കളിയാക്കുന്നു എന്ന് എനിക്ക് തോന്നുന്നു,Non-anti-LGBT+ content
4,ayyeeeivanonnum naanam illeeeesnehikkunna aalinte munpil ingane okke abhiyachaal pooreeenthinaane publicine ingane kkaanikkunneee,Transphobia
5,Komalan gays onnum sheri alla Avarku nalla oru lyf kittila,Homophobia
6,Chechi ningalay polay ningal mathray ullu super topic ,Non-anti-LGBT+ content
7,aadhyam nadanna കുന്ദൻ ,Homophobia
8,Pink lamp thirumbi vandache,Non-anti-LGBT+ content
9,നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ ,Homophobia
10,Ellathilum kanan nallathum athine parappikkanum oru Jadhi,Non-anti-LGBT+ content
11,ഓരോ സ്വവർഗനുരാഗിയുടെയും ജീവിതം അവസാനം ഇത്തരത്തിൽ ആണെന്ന് നിങ്ങൾ പിന്നെയും പിന്നെയും പറഞ്ഞു വെക്കുകയാണല്ലോ ഇത് മാറ്റാറായില്ലേ,Non-anti-LGBT+ content
12,ഈ dransgenderസിൽ പലരും പൂർണമായും പുരുഷൻ മാർ തന്നെയാണ് പിന്നെന്തിനാണ് പെണ്ണാകുന്നത് എന്ന് മനസിലാകുന്നില്ല ,Transphobia
13,രാത്രിയിൽ കൊച്ചിയിൽ നടക്കുന്നത് കൊച്ചിക്കാർക്ക് മാത്രം അറിയാം മൈര്,Non-anti-LGBT+ content
14,Njan epozhokey parayanam ennu vicharicha karyangal,Non-anti-LGBT+ content
15,രണ്ടാണുങ്ങൾ തമ്മിൽ ലിപ് ലോക്ക് നടത്തിയപ്പോഴേക്കും പലർക്കും കുരു പൊട്ടിഇനീം കേരളത്തിലെ ഗേ ലിപ് ലോക്ക് വീഡിയോ ധാരാളം ഇറങ്ങണം പ്രണയം രണ്ട് പേർക്ക് ഇടയിലാണ് മൂന്നാമത്തെ ആൾ ചൊറിഞ്ഞിട്ട് കാര്യമില്ല,Non-anti-LGBT+ content
16,Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu,Transphobia
17,വിശേഷം വല്ലതും ആയാൽ പറയണേ,Non-anti-LGBT+ content
18,ശ്രീകണ്ടൻ ഇജ്‌ജാതി മണ്ടൻ,Non-anti-LGBT+ content
19,JITHEESH P J രണ്ടുപേരും നിൻറെ അച്ഛൻ ആണെന്ന് അറിഞ്ഞില്ല സോറി,Non-anti-LGBT+ content
20,ഇവനെ ഒകെയ് അടിച്ചു കൊല്ലാൻ ആ നാട്ടിൽ ആണുങ്ങൾ ഇല്ലേ,Homophobia
21,Negal patnare nokunudo,Non-anti-LGBT+ content
22,Mumbai police ile രാജുവേട്ടൻ മരണമാസ്സ്‌ ആണ് എന്നുള്ളവർ ഒരു like അടിച്ചേക്കു,Non-anti-LGBT+ content
23,കോഴിക്കോട് മലയോര മേഖല അതായത് കൊടുവള്ളി താമരശ്ശേരി മടവൂർ etc ഭാഗങ്ങളിൽ പയ്യൻ അല്ലെങ്കിൽ ചെറുക്കൻ എന്നിങ്ങനെ വിളിക്കുന്നതിന് പകരം,Non-anti-LGBT+ content
24,Dislike cheyata 342 perude mentality patti orthittu,Non-anti-LGBT+ content
25,Kandit entho pole ,Non-anti-LGBT+ content
26,Aneesha Anju താൻ പറഞ്ഞ മനുഷ്യ സംസ്ക്കാരം ആണ് മുകളിൽ പറഞ്ഞത്അല്ലാതേ താൻ ചെയ്തു എന്നല്ല,Non-anti-LGBT+ content
27,Sree kutty enn parayunna aa saadhanathinte tiktok videos onn kaananam ellaarum  I respect transgenders but orupaad peru vulgar aayitt dress cheyunnu oronn kaanikkaan vendi dress cheyunnu adhokke aanu mosham other than that nammalu manushyar aanu avarum manushyar aanu,Non-anti-LGBT+ content
28,പക്ഷേ ഇത് ഒന്നൊന്നര പാടായി പോയി,Non-anti-LGBT+ content
29,പുരുഷൻ മാർ ഇങ്ങനെ പുരുഷൻ മാരെ തന്നെ കല്യാണം കഴിച്ചാൽ നമ്മുടെ കേരളത്തിലെ സ്ത്രീകളെ ആരു കല്യാണം കഴിക്കും അതുകൊണ്ട് സഹോദരിമാരെ നിങ്ങൾ ആരും ഈ തോന്നിവാസത്തിനു സപ്പോർട്ട് ചെയ്യരുതേ കാരണം ഇത് ഒരു തരം പ്രാന്ത് ആണ് സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ചികിത്സയാണ് ഇതിനു വേണ്ടത് ,Homophobia
30,J J nivine allathe vere aarem imagine cheyan pattila ennanu geethu mohandas um paranje,Non-anti-LGBT+ content
31,Pavangal aalle manasinu vishamangal marakkana oronnu parayanennu tonnunu,Non-anti-LGBT+ content
32,Valla negative comments undo ennu nokkan vannatha,Non-anti-LGBT+ content
33,ഓവർ make up ഒഴിവാക്കിയാൽ നന്നായിരുന്നു,Non-anti-LGBT+ content
34,കുണ്ടൻ എന്നാണ് വിളിക്കാറ്,Non-anti-LGBT+ content
35,സത്യം തമ്പിനയിൽ കണ്ട ട്രാൻസ്,Non-anti-LGBT+ content
36,Edoithokke Ella kalathum und,Non-anti-LGBT+ content
37,looth nebiyude kalathilekk kalam vazi marumoallahu kakkatte,Non-anti-LGBT+ content
38,മീശേം താടിയും വളർത്തിട്ട് കാര്യം ഇല്ലാ ആണുങ്ങളെ പോലെ ജീവിക്കാഡോ ആണുങ്ങളുടെ വില കളയാൻ ആയിട്ട് ഇറങ്ങിക്കോളും,Homophobia
39,Lokavasanathinta naalukal ennapetu thudangi,Homophobia
40,Homosexuality exploit cheyunna oru vibhagam und,Non-anti-LGBT+ content
41,Purathakana parents und athum samskaram allarikum alle,Non-anti-LGBT+ content
42,Engne oru muzhuvan sthree muzhuvan purushan enna ganathile peduthaan pattum Sthreek reproduce cheyyunnath pole ivarkk cheyyan pattum0 Innathe technology karanam kuttikal ayekkam Ithonnum illayiriunnenkil engne jeevikkum Chilar bisexual aanenn avakaashapedunnu apol nammal engne avre sthreeyute koottathil allenkil purushakoottathil peduthum Ithonnum praayogikamlla Ithonnum prakruthikku inangunna karyangal alla Ipol nammuk sahathapam thonnaam Nale nammude kuttikale ivar ethra influence cheyyumennu kandariyaam,Transphobia
43,കുന്ദൻ maar allathavar like adikk,Homophobia
44,പ്രകൃതിയുടെ നിയമം മാത്രം നിലനില്‍ക്കുന്ന കാലത്താണ് സ്വവര്‍ഗ്ഗരതിയെന്ന മാരകപാപം സോദോമിലും ഗൊമോറായിലും വ്യാപകമായത് ദൈവദൂതന്മാരോടുപോലും ഈ മ്ലേച്ഛത പ്രവര്‍ത്തിക്കാന്‍ ഈ സമൂഹം തുനിഞ്ഞത് ഉല്‍പത്തിയുടെ പുസ്തകത്തിലെ പത്തൊന്‍പതാം അദ്ധ്യായത്തില്‍ വ്യക്തമായി കാണാൻ സാധിക്കും പ്രകൃതിവിരുദ്ധ പാപങ്ങളില്‍ മുഴുകിയ ജനതയ്ക്കുമേല്‍ ദൈവം‌ അയച്ച മഹാമാരിയും പിന്നീടുള്ള വചനങ്ങളില്‍ കാണുന്നു സോദോംഗൊമോറാ ദേശങ്ങളെ അഗ്നിയും ഗന്ധകവും ഇറക്കി വെണ്ണീറാക്കിയത്തിനുശേഷം നൂറ്റാണ്ടുകള്‍ കഴിഞ്ഞായിരുന്നു മോശയിലൂടെ അവിടുന്നു നിയമങ്ങള്‍ നല്‍കിയത് നിയമം ലിഖിതരൂപത്തില്‍ ലഭിക്കാതിരുന്ന നാളുകളില്‍ ദൈവത്തിന്റെ കോപം ഈ പാപത്തിനുമേല്‍ ജ്വലിച്ചുവെങ്കില്‍ എല്ലാ അറിവും ലഭിച്ചതിനുശേഷം ചെയ്തുകൂട്ടുന്ന മ്ലേച്ഛതകള്‍ക്കു ന്യായീകരണം ഇല്ലെന്നുമാത്രമല്ല ശിക്ഷ വൈകുകയുമില്ല ഭൂമിയുള്ളിടത്തോളംകാലം ഭൂവാസികള്‍ക്കെല്ലാം ദൃഷ്ടാന്തമാക്കി സോദോമിനെ നിലനിര്‍ത്തിയിരിക്കുന്നതും ഒരു താക്കീതായി കാണണം എന്നാൽ ദൈവം ഈ തലമുറക്ക് ഒരുക്കിയിട്ടുള്ള ശിക്ഷ സോദോമിനേക്കാൾ അതികഠിനമായിരിക്കും ഇത് ദൈവത്തിന്റെ പ്രവർത്തികൾ കണ്ണുകൾ കൊണ്ട് കാണേണ്ട സമയം,Homophobia
45,കേരളതിൽ പലരും പകൽ മാന്യന്മാരായ കള്ളന്മാർ,Non-anti-LGBT+ content
46,Antass  Ithokke acteyunnataanennaan elardem vicharam Genetics il PhD Ulla nte ammak vare cant understand I really feel for them I wish I had such a friend so that avark veshamam faceyandi varumbol they could atleast find a person to talk with enn We need an educative video,Non-anti-LGBT+ content
47,ANISHKUMAR T ആണ്പിള്ളേര് pooril അടിക്കും നിന്നെ പോലെ ഇതുപോലുള്ള കുണ്ടന്മാര് വായിലും എടുക്കും  ആണും പെണ്ണും കെട്ട ജന്മങ്ങൾ,Homophobia
48,Enthu koppile manasutheyre gayathondu cheyaan patti,Non-anti-LGBT+ content
49,Kalyanathilupari avar onnichubdakumbol kittunna sathosham athanu valuthu athu ennum undavatte nalla koottukarke onnichu kazhiyan pattolu,Non-anti-LGBT+ content
50,Gayathri chechirikkatte oru kuthira pavan,Non-anti-LGBT+ content
51,Christopher Nolan u r rightivamar nnthina ingane jeevikaneaanu aaytu jeevicha pore,Homophobia
52,Oru kozhappomella Ee uthuparipadinirthi Joli chaythujeevichamathi,Non-anti-LGBT+ content
53,Jerin Raju LGBT alla sahodara hormone treatement olla aallude karyam aanu paranjathu,Non-anti-LGBT+ content
54,Podaa njaramba penn azhichitt kandal eeth aaninum pongum oru aanine kanditt pongunnath enthaada,Homophobia
55,Shahla Vishahad നിങ്ങൾ പറയുന്നത് പോലെ എല്ലാ കാര്യത്തിലും ഉൾപ്പെടുത്താൻ സാധിക്കില്ല സഹോദരി അവർ സ്ത്രീയുടെ മനസ്സും പുരുഷന്റെ ശരീരവുമായി ജീവിക്കുന്നതിനു ഇപ്പോൾ പരിഹാരം ഉണ്ട് ഒരു സർജറി വേണം കുറച്ച പൈസ ചിലവുണ്ട് അതുകൊണ്ട് ഇപ്പോൾ ഒരു പരിധിവരെ അവരുടെ വിഷമങ്ങൾ മറക്കാൻ സാധിക്കും പക്ഷെ ഒരിക്കലും പൂർണ്ണമായും ഒരു പെണ്ണാകാൻ അവർക്ക് സാധിക്കില്ല ഗർഭപാത്രം ഇല്ലാത്തതുകൊണ്ട് അമ്മയാകാനും സാധിക്കില്ല ,Non-anti-LGBT+ content
56,ഇത് ഒരു വൈകല്യം ആണ് അവർ ജീവിക്കട്ടെ അവർക്ക് ഭയം ആണ് ഞൻ ആണായിട്ടില്ലേ അല്ലങ്കിൽ പെണ്ണ് ആയിട്ടില്ലേ എന്നുള്ള അത് ഉറപ്പിക്കാൻ വേണ്ടിയാണ് ഈ വെച്ച് കെട്ടൽ അത് സാദാരണക്കാർക്ക് അത് അലോഷകരമായി തോന്നും,Transphobia
