,text,category
0,இந்த மாதிரி பண்ணாதிங்க இந்த பாவத்த நீங்க அனுபவிக்கனும்,Non-anti-LGBT+ content
1,ரொம்ப கஷ்டமா இருக்க இந்த வீடியோ ,Non-anti-LGBT+ content
2,சிரிப்பு காட்டாத பா,Non-anti-LGBT+ content
3,மற்றவர்களின் உணர்ச்சிகளையும் மதிப்போம்,Non-anti-LGBT+ content
4,இவள்ங்களை துடைப்பங்கட்டையா  அடிக்கனும்,Transphobia
5,என்ன ஒரு அசிங்கமான காட்சி ஒரு பெரிய மனுஷனை இப்படியா பேசுறது எதுப்பற எனக்கு என்னவோ என்பது போல் அந்த கருப்பு டிசர்ட் காரன் பாட்டு கேட்டுக்குட்டு இருக்கான் என்ன தேசமோ இது,Non-anti-LGBT+ content
6,ஓரின gay lesbian சேர்க்கை தவறானது தான் ஓரின gay lesbian சேர்க்கை சரியானது என்பவர்கள் தவறானவர்களே 5 அறிவு உயிரி கூட அதன் துணை அறிந்து சேரும்,Homophobia
7,அண்ணா அருமை  சகோதரி வாழ்க பல்லாண்டு,Non-anti-LGBT+ content
8,ஓரின சேர்க்கை தவறு இல்லை  ஒவ்வொரு ஜீவா ராசிக்கும் வித்தியாசமான உணர்வு இருக்கும்  எல்லா ஆணுக்கும் பெண்ணின் உணர்வு இருக்கும் அதே போல எல்லா பெண்களுக்கும் ஆணின் உணர்வு இருக்கும்  பால் உணர்வு  ஹார்மோன் வேற்றுமை தன காரணம்  இது நமக்கு புதிது இல்லை  நம் முன்னோர்களும் இதனை பற்றி இலக்கியங்களில் எழுதி இருக்கிறார்கள்  உதாரணமாக திருநங்கை ஆழ்வார் பாடல்களில் இதுதான் இயற்கை  இது விலங்குகளுக்கும் பொருந்தும்  புரியாதவங்க தேடிப்பாருங்க                       ,Non-anti-LGBT+ content
9,அம்மா கண்ணு கலங்கிருச்சுமா நீங்க நல்லா இருக்கனும்,Non-anti-LGBT+ content
10,இந்த மனசுதான் சார் இறைவன் ,Non-anti-LGBT+ content
11,முடிஞ்ச வரைக்கும் தமிழில் பேசுங்க டா ,Non-anti-LGBT+ content
12,Gay lesbian ரெண்டுமே வெறும் செக்ஸ்தான்னு இந்த சமூகத்தோட பார்வை மாறும் வரைக்கும் எத்தனை மாலினிகள் வந்து காட்டு கத்தலா சொன்னாலும் ஓரினச் சேர்க்கையாளர்கள் என்பவர்கள் இச்சமூகத்திற்கு எதிரானவர்கள் தான்  வெளிப்படையா சொல்லிக்க முடியாதவிரும்பாத தற்பால் சேர்க்கையினருடைய ஒட்டுமொத்த ஆதங்கம்நியாயமாத்தான் இது இருக்கு  தற்பால் சேர்க்கை என்பது ஒரு பிரச்சனை இல்ல இது ஒரு உணர்வு இத பார்த்த பிறகாச்சும் யாரும் உணர்வுகள கொச்சையா பாக்காதீங்க  இதுக்கு மேல சொல்ல ஒண்ணுமில்ல                      ,Homophobia
13,Srini Vasan  அந்த பொட்டைங்கள சாக சொல்லு,Transphobia
14,dharmalingam boominathan  கடலூர் மாவட்டம்,Non-anti-LGBT+ content
15,எல்லோரும் மனிதன்  தான் வாழ்த்துகள்  தம்பி அந்த திருநங்கை வாழ்க வளமுடன்,Non-anti-LGBT+ content
16,இந்த முன்டைங்க தொல்லை எப்பதான் முடிவு வருமோ எடுக்குரது பிச்சை இதுல அதப்பு மயிரு  டாடீ பசங்கலா                      ,Non-anti-LGBT+ content
17,துலுக்க நாடுகள்ல தான் ஓரிணசேர்க்கை அதிகமா ஓரிணசேர்க்கைல ஈடு படுரானுக துலுக்கன் சூத்துல ஓக்குறத தான் அதிகம் விரும்புவான் முகமது நபி கூட ஒரு ஓரிணசேர்க்கையாளன் தான்,Homophobia
18,விபச்சாரத்திற்கும் அனுமதி கொடுத்துவிட்டான் கள்ள உறவு இனி தவறு  இல்லையாம்,Non-anti-LGBT+ content
19,உங்களுக்கு நடுவே ஒற்றுமை இல்லைசாதாரண மக்கள் 9 nu சொன்னால் மட்டும் உங்களுக்கு கோவம் வருகிறதுஎங்களை யாரும் மதிக்க வில்லைஇப்படி பேசுகிறார்கள் அப்படி பேசுகிறார்கள் என்று,Non-anti-LGBT+ content
20,தனி உரிமை பற்றி வாய் கிழிய பேசி விட்டு இது தப்பு அது தப்புன்னு சொல்றதுல என்ன ஞாயம் இருக்கு இது அவர்களுடைய தனிப்பட்ட வாழ்க்கை அவங்க புடிச்ச மாதிரி வாழறாங்க அதனை நம்ப தலையிடுவதற்கு எந்த உரிமையும் கிடையாது என்னையே கேட்டா இது வரவேற்கத்தக்க உடைய ஒரு விஷயம் தான் அவங்க வாழ்க்கை அவங்க புடிச்ச மாதிரி வாழட்டும் என்னுடைய வாழ்த்துக்கள்,Non-anti-LGBT+ content
21,life experience  என் அனுபவத்தை வீடியோவாக போட முடியுமா,Non-anti-LGBT+ content
22,திருநங்கைகள் இந்த மாதிரி நல்லவங்களும் இருக்காங்க இருக்கிறார்கள் கெட்டவர்களும் இருக்கிறார்கள் ஆனால் ஸ்கூலில் நடந்த கொடுமை வீட்டில் நடந்த கொடுமை எல்லாமே சிரிச்சுகிட்டே சொல்றீங்க அது எப்படி,Non-anti-LGBT+ content
23,எந்த விலங்கு ஓரினச் சேர்க்கையில் ஈடுபடுகிறது அப்படி நாங்கள் செய்தால் விலங்கை விட கேவலமானவர்கள்,Homophobia
24,bro நீங்க பேசறதெல்லாம் கேக்க கேக்க இரவு துக்கம் வரமாட்டங்குது,Non-anti-LGBT+ content
25,ஒவ்வோறு விதமாக யோசிப்பதும் அவன் அவன் மனதை பொறுத்து,Non-anti-LGBT+ content
26,இந்த திருநங்கை தொல்லை தாங்கமுடியல,Transphobia
27,திருநங்கைக்கு யாரும் வேலை கொடுக்க முடியவில்லை அவர்கள் அப்படி இறுக்க பழக வாய்ப்பு அவர்கள் ஏற்ப்படுத்திகொள்ளவில்லை நம் நல்லா இருந்தே நமக்கும்  பணப்பிரச்ணை இப்ப சொல்லுங்க 1 377 சட்டம் வேற இதற்கு காரணம் 2 அவர்களை யாரும் மதிப்பதில்லை ஏதோ அவர்கள் வேண்டும் என்றே இந்த பிறப்பு எடுத்துக் கொண்டு வந்து நம்மிடம் வேதனை படுவதற்கு 3 யாரோ ஒருவர் அவர்கள் அடிமனதில் ரொம்ப வேதனை அளிக்துஇறுக்கிறார்கள் அதனால் இப்போது கூட்டமாக வந்து நம்மளை வேதனை படுத்துகிறாரகக்ள் 4 தயவுசெய்து அவர்களுக்கு ஏதாவது ஒரு உதவி உண்ண உணவு இறுக்க இடம் அவர்கள் வேலை செய்யும் அறிவுக்கு ஏற்றாற்போல் ஏதாவது வேலை சமுதாய கூடத்திலே இருந்து வேலை செய்யும் அளவுக்கு பண்புகள் உருவாக்கும் சமுதாயம் வேண்டும் 5 சிருத்தொழில் படகு வலை பின்னுதல் மற்றும் இதர தொழில் 6 அவர்களையும் நம் சமூகத்தில் இப்படி தான் வாழ வேண்டும் என்ற எண்ணத்தை நல்ல உள்ளம் கொண்ட நாங்கள் தான் உருவாக்க வேண்டும் 7 நான் கேட்பது ஒன்று தான் அ திருநங்கை  நல்வாழ்வு ஆ மாற்று திறனாளி நல்வாழ்வு இ ஆதரவு இல்லாதவர்கள் நல்வாழ்வு ஈ அடிப்படை வசதிகள் சேய்தாலே போதும் நல்ல உள்ளம் கொண்ட நாங்கள் இந்த கருத்தை நல்லவிதமாக அனைவருக்கும் புரியும் படி எடுத்து செல்ல வேண்டும் நன்றி நன்றி நன்றி நன்றி,Non-anti-LGBT+ content
28,இது முன்னரே பேசி எடுக்கப்பட்ட வீடியோ என்பது நல்லா தெரிந்தாலும் சொல்லும் செய்தி அருமையான செய்தி,Non-anti-LGBT+ content
29,அவர்கள்நாம்மை அசிங்கபடுத்தவில்லை நாங்கள் தான் அவர்கலை அசிங்கபடுத்துகிறேம் சறியா அவர்கள் நல்லவர்கள்,Non-anti-LGBT+ content
30,அடதெவ்டியாபையா காசுகொடுக்கலனா அவுங்க பாவாடையா தூக்கி காட்டுவாங்கடா நாயே,Transphobia
31,அருமையான படைப்புகள் நன்றி சகோ,Non-anti-LGBT+ content
32,நவம்பர் 26 தமிழீழ தேசியத் தலைவர் பிரபாகரன் அண்ணண் பிறந்த நாள் அகவை தினம் அவரை பத்தி காணொளி பண்ணுங்க மதன் ப்ளிஸ்  நவம்பர் 27 மாவீரர் நாள் Heros Dayஅதை  பத்தி வீடியோ பண்ணுங்க தயவுசெய்து,Non-anti-LGBT+ content
